1
0,0,0,0
0.4137761,0.5173745,0.4950652,0.5621599
-0.02559508,0.6052546,-0.01020453,0.7955552
-0.005652495,0.5402226,0.01866581,0.8412965
0,0,0,0
0.4966291,0.4296952,0.5876359,-0.4726586
0.5492436,0.4390483,-0.2406001,0.669089
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
12
1,-0.2858364,0
0.01044264,0.5879658,0.06707303,0.8060325
-0.01350478,0.5921755,0.03269259,0.8050324
0,0,0,0
0.02058199,0.5951242,-0.1229384,0.7939081
0,0,0,0
0.6735223,0.1217563,0.3729303,-0.6264713
0.7448289,0.1540979,0.09238666,-0.6426108
0.7109223,0.2074722,-0.01416949,-0.6718216
0,0,0,0
0,0,0,0
0,0,0,0
0.5668296,0.1137052,0.1606431,0.7999809
0.5709145,-0.2636321,0.2852961,0.723299
0.5716628,-0.3088431,0.2523549,0.7170317
0,0,0,0
0,0,0,0
0,0,0,0
-0.3554103,0.1446184,-0.6929614,0.6103882
-0.4062921,-0.04055557,-0.9121293,0.03609334
-0.458764,-0.02903581,-0.8865545,0.05209668
0,0,0,0
0.4136072,0.5174977,0.4950693,0.5621672
-0.02573537,0.6044854,-0.01022158,0.7961351
-0.006033028,0.5401272,0.01878847,0.8413522
0,0,0,0
0.4941712,0.4314098,0.5870622,-0.4743823
0.5493782,0.4396752,-0.2410413,0.6684076
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
13
1,-0.2858364,0
0.01043268,0.5879668,0.06705897,0.8060331
-0.01350628,0.5921802,0.03267977,0.8050293
0,0,0,0
0.02058023,0.595131,-0.1229559,0.7939003
0,0,0,0
0.6733767,0.12115,0.3736275,-0.62633
0.7447081,0.1537434,0.09286709,-0.6427663
0.7109794,0.2077187,-0.01456643,-0.6716763
0,0,0,0
0,0,0,0
0,0,0,0
0.5666116,0.1140345,0.1608249,0.8000519
0.5708942,-0.2635689,0.2853414,0.7233198
0.5716446,-0.3089819,0.252239,0.7170274
0,0,0,0
0,0,0,0
0,0,0,0
-0.3554701,0.1446091,-0.692939,0.6103811
-0.4064096,-0.0405564,-0.9120771,0.03608256
-0.4588148,-0.02899658,-0.8865302,0.05208523
0,0,0,0
0.4136118,0.5175393,0.4950552,0.5621377
-0.02575069,0.604275,-0.01019029,0.7962946
-0.006196459,0.5401263,0.01890576,0.8413491
0,0,0,0
0.4939276,0.4315708,0.5870045,-0.4745611
0.5493996,0.4397422,-0.2411011,0.6683243
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
14
1,-0.2858363,0
0.01108402,0.5882536,0.06735232,0.8057907
-0.01290522,0.5924754,0.03296,0.8048106
0,0,0,0
0.02106341,0.5954913,-0.1227264,0.7936529
0,0,0,0
0.6735104,0.1286469,0.3645267,-0.630043
0.7411376,0.161198,0.08583848,-0.646036
0.7061437,0.2079793,-0.01196759,-0.6767296
0,0,0,0
0,0,0,0
0,0,0,0
0.5712032,0.1049257,0.1543411,0.7993101
0.5735336,-0.2627124,0.2850177,0.7216694
0.5743006,-0.3076901,0.2521021,0.7155072
0,0,0,0
0,0,0,0
0,0,0,0
-0.3534922,0.146824,-0.6937088,0.6101264
-0.4031031,-0.03983221,-0.913562,0.03641492
-0.4590195,-0.02854183,-0.8864266,0.05229393
0,0,0,0
0.4144383,0.5170159,0.4949825,0.5620746
-0.02507315,0.6082796,-0.01007124,0.7932629
-0.004211549,0.5407004,0.01824368,0.841007
0,0,0,0
0.5052738,0.423606,0.5895889,-0.4665206
0.5487677,0.4368237,-0.239132,0.6714575
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
15
1,-0.2858363,0
0.01051173,0.5879796,0.06709791,0.8060195
-0.01345539,0.5921837,0.03269456,0.8050271
0,0,0,0
0.02058006,0.5951214,-0.1229861,0.7939028
0,0,0,0
0.673691,0.122891,0.3716675,-0.6268187
0.7448195,0.1553009,0.09128302,-0.6424898
0.7108338,0.2075538,-0.01411285,-0.6718911
0,0,0,0
0,0,0,0
0,0,0,0
0.5671896,0.1128842,0.1601636,0.7999382
0.5710415,-0.2635681,0.2853544,0.7231988
0.5717893,-0.3086221,0.2525532,0.7169566
0,0,0,0
0,0,0,0
0,0,0,0
-0.3552211,0.1447358,-0.6930339,0.6103881
-0.4059714,-0.04052775,-0.9122721,0.0361211
-0.4587174,-0.02908141,-0.8865762,0.05211088
0,0,0,0
0.413646,0.5174026,0.49508,0.5622165
-0.02563347,0.6053599,-0.01024056,0.7954733
-0.005366361,0.5402163,0.01843005,0.8413075
0,0,0,0
0.4950988,0.4307701,0.5872918,-0.4737116
0.5493366,0.4394135,-0.2408891,0.6686687
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
16
1,-0.2858363,0
0.01047694,0.5879704,0.06707241,0.8060288
-0.01348138,0.5921777,0.03267012,0.8050321
0,0,0,0
0.02055734,0.5951146,-0.1230133,0.7939044
0,0,0,0
0.6735647,0.1220886,0.3726085,-0.6265528
0.7448689,0.1546988,0.09197938,-0.6424788
0.7110721,0.2077435,-0.01455301,-0.6715712
0,0,0,0
0,0,0,0
0,0,0,0
0.5668242,0.1135241,0.1605722,0.8000247
0.570913,-0.2635629,0.2853906,0.7232881
0.5716705,-0.3087932,0.25245,0.7170138
0,0,0,0
0,0,0,0
0,0,0,0
-0.3553493,0.1446391,-0.6929857,0.6103911
-0.4061982,-0.04055242,-0.912171,0.0360963
-0.4587428,-0.02906271,-0.8865649,0.05209149
0,0,0,0
0.4136162,0.5174575,0.4950698,0.562197
-0.02567346,0.6047483,-0.01021172,0.7959374
-0.005779068,0.5401239,0.01868331,0.8413585
0,0,0,0
0.4944218,0.4312363,0.5871314,-0.4741935
0.5493771,0.4395922,-0.2410221,0.6684699
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
17
1,-0.2858363,0
0.01082514,0.5881274,0.06722537,0.8058969
-0.01314769,0.592346,0.03282247,0.8049075
0,0,0,0
0.02083526,0.5953275,-0.122883,0.7937575
0,0,0,0
0.6735731,0.1258737,0.367973,-0.628531
0.7428532,0.1586577,0.08826774,-0.6443648
0.7083489,0.2081441,-0.01349451,-0.6743414
0,0,0,0
0,0,0,0
0,0,0,0
0.5692582,0.1087256,0.1571206,0.7996482
0.5723553,-0.2632189,0.2850934,0.7223898
0.5731629,-0.3082663,0.2521825,0.7161428
0,0,0,0
0,0,0,0
0,0,0,0
-0.3542995,0.1458511,-0.6933924,0.6102513
-0.4044562,-0.04010045,-0.912958,0.03626581
-0.458828,-0.02873211,-0.8865251,0.05220413
0,0,0,0
0.4140771,0.5171908,0.4950254,0.5621423
-0.0252933,0.6067048,-0.01012591,0.7944605
-0.004844955,0.5404741,0.01844198,0.841145
0,0,0,0
0.5004824,0.4269811,0.5885259,-0.4699381
0.5490533,0.4380524,-0.2399789,0.6701202
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
18
1,-0.2858363,0
0.01049204,0.5879782,0.06706713,0.8060234
-0.01346531,0.5921878,0.03265963,0.8050253
0,0,0,0
0.0205555,0.5951242,-0.1230425,0.7938924
0,0,0,0
0.6735685,0.1222526,0.3724402,-0.6266166
0.7448813,0.1550213,0.09171638,-0.6424243
0.7110493,0.2079667,-0.01486929,-0.6715193
0,0,0,0
0,0,0,0
0,0,0,0
0.5668629,0.113409,0.1604944,0.8000292
0.5709139,-0.2636377,0.2853272,0.7232851
0.5717214,-0.3088485,0.2523858,0.716972
0,0,0,0
0,0,0,0
0,0,0,0
-0.3553116,0.144667,-0.693002,0.610388
-0.4061366,-0.04050353,-0.9122008,0.03608923
-0.4586901,-0.02902902,-0.8865932,0.05208953
0,0,0,0
0.41363,0.5174373,0.4950655,0.5622091
-0.02562675,0.6049113,-0.01021235,0.7958151
-0.005632627,0.5401876,0.0186247,0.8413198
0,0,0,0
0.4945279,0.4311574,0.5871571,-0.4741225
0.5493778,0.4395659,-0.2410213,0.6684872
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
19
1,-0.2858363,0
0.01047579,0.5879769,0.06705097,0.8060259
-0.01347384,0.5921898,0.03264564,0.8050243
0,0,0,0
0.02054841,0.5951279,-0.123058,0.7938877
0,0,0,0
0.6734323,0.1216153,0.3731748,-0.6264501
0.7447968,0.1545934,0.0922538,-0.6425481
0.7111371,0.2081694,-0.0152422,-0.6713552
0,0,0,0
0,0,0,0
0,0,0,0
0.5666203,0.113803,0.1607246,0.800099
0.5708734,-0.2635928,0.2853648,0.7233186
0.5716863,-0.3089904,0.252272,0.716979
0,0,0,0
0,0,0,0
0,0,0,0
-0.3553868,0.144637,-0.6929735,0.6103839
-0.4062771,-0.04051058,-0.9121386,0.03607646
-0.4587336,-0.02899674,-0.8865725,0.05207759
0,0,0,0
0.4136262,0.517482,0.4950532,0.5621818
-0.02565106,0.6045192,-0.01017878,0.7961128
-0.00592238,0.5401425,0.01881441,0.8413427
0,0,0,0
0.4941877,0.4313881,0.5870752,-0.474369
